par;mean;low;up;se;
phiC;0.74;0.72;0.77;0.01;Estimated
phiFT;0.42;0.31;0.55;0.06;Estimated
PhiEBE;0.86;0.81;0.90;0.02;Estimated
PhiEBC;0.79;0.75;0.82;0.02;Estimated
r1;0.00;0.00;0.00;0.00;Estimated
r2;0.03;0.01;0.07;0.01;Estimated
r3;0.03;0.01;0.11;0.02;Estimated
r3;0.22;0.13;0.35;0.06;Estimated
r5;0.06;0.00;0.68;0.10;Estimated
r6;0.94;0.67;0.99;0.06;Estimated
r7;1.00;1.00;1.00;0.00;Estimated
f1;0.62;0.43;0.77;0.09;Estimated
f3;1.00;1.00;1.00;0.00;Estimated
f24;1.00;0.99;1.00;0.00;Estimated
p;0.46;0.43;0.49;0.01;Estimated
phiC;0.70;;;;Used
phiFT;0.50;;;;Used
PhiEBE;0.86;;;;Used
PhiEBC;0.79;;;;Used
r1;0.01;;;;Used
r2;0.02;;;;Used
r3;0.03;;;;Used
r3;0.02;;;;Used
r5;0.30;;;;Used
r6;0.80;;;;Used
r7;1.00;;;;Used
f1;0.62;;;;Used
f3;0.99;;;;Used
f24;1.00;;;;Used
p;0.47;;;;Used
